new iteration,
2221.233831,605.9663478
3199.030741,665.998935
7621.731527,683.0559761
8354.953772,563.1272779
8573.60875,730.3589307
8798.08105,945.2558
10957.44498,558.5098912
11143.5406,2546.302511
14661.40699,507.9411983
13281.58156,2672.123848
15498.94835,798.7386982
17971.96005,585.3951383
17186.42569,2167.203063
new iteration,
62.29201743,566.6432517
996.5595569,541.9311048
1524.125228,521.9073367
2266.939016,666.457493
11641.63347,678.6830545
11076.22866,2553.634479
12962.7851,1069.217569
13411.4205,1447.485013
13735.41025,1497.234433
14071.38654,1550.142989
14733.65115,1390.750651
16302.17358,550.2525862
17188.7166,567.2737658
13321.65833,4760.186117
new iteration,
2868.395574,680.645712
3117.478905,2603.237411
3429.041286,2841.349371
6015.330578,576.3237835
6326.804918,858.6520221
6884.300965,836.2045376
8068.390892,618.9104194
9488.78245,715.8450858
10753.99929,676.2854799
9159.774638,2573.971157
10809.78259,1424.327025
12552.44215,2277.054199
14652.77194,652.3669998
13957.49131,2177.374303
15385.62304,2138.854171
17099.77633,2446.390466
15655.05646,6315.810035
new iteration,
143.8757439,634.9253346
844.1468101,608.7184458
3185.068446,502.8082243
3229.383636,857.9203653
1577.064407,2910.902751
3538.952416,1441.126522
3705.029484,1626.942332
5093.211357,2351.419398
8185.288174,743.540877
8403.889124,1647.086178
7877.39491,2951.473061
8808.829051,3353.01265
12262.83238,695.4803096
8266.479111,5331.060546
12495.19858,1557.245847
13477.53966,1489.687861
12721.24904,3532.90826
14771.58046,2522.692322
16117.02449,2497.758358
17300.58079,2354.614029
new iteration,
317.8795922,645.4191451
1727.238735,705.7759579
4190.9673,897.1863676
5663.301758,423.8155234
4130.228721,2344.415349
2768.978809,4468.996494
7757.691418,704.5186056
8008.799117,758.9943534
9020.554974,896.6328387
7412.980009,3341.790418
10204.17753,912.3214439
8013.420943,3542.361456
9071.869429,3011.139684
13709.66622,518.9415623
14190.90384,578.126445
14853.23238,567.9139453
15474.50677,605.1669656
15909.0301,633.535321
17679.21055,522.7035649
new iteration,
183.0596075,2419.70116
1658.574232,2664.195153
4032.856814,1242.887405
3278.896307,2934.356372
3388.408671,3125.379424
6574.661488,2454.722
4268.357029,5217.763215
7143.65092,2646.143637
9502.470056,929.2749207
9543.763907,1205.020269
8028.412551,3327.684444
11023.35098,774.5248566
9459.669089,2734.814852
11615.60928,2792.677916
15263.94387,497.2010605
14288.2872,3838.332509
new iteration,
2462.826726,598.6606474
2497.097668,1106.149603
577.9528808,3894.49243
4605.341614,914.3402351
6791.743164,685.3264771
4575.800809,3925.458677
8454.718064,523.1954246
8463.862423,910.3258051
8620.194703,1319.954645
9441.499121,996.7080656
9820.149348,1025.963703
10551.62376,1193.939648
12245.95853,585.2497696
9885.371447,3331.410876
10726.11305,2979.846301
15594.61321,663.8171501
17865.39918,450.0024825
new iteration,
1094.196408,608.1607469
1684.547089,763.7767603
1796.189686,1063.323616
1834.608057,1537.302198
2249.237007,1707.60502
3022.551645,1977.602733
1507.764455,4159.877378
3460.720042,2702.652553
4602.646483,1865.890357
4823.334985,2339.953577
5219.365889,2978.690417
2739.513302,5902.328265
3190.958908,5982.110185
6869.511047,2744.73259
4820.154378,5609.309907
5097.006316,5847.972247
5217.345473,6169.290255
10627.50135,1532.750197
10936.06085,1805.714373
7699.384265,5412.058566
9556.290448,4418.100291
13975.00962,665.3125949
14955.69554,1156.011736
16246.44186,1014.204594
12699.60042,5602.474313
14020.444,4589.915416
17836.14537,2845.549276
16684.7313,4464.058059
new iteration,
1239.545723,693.60707
1344.150965,1024.217132
3056.698096,785.3021158
1424.613146,3000.413664
2818.402089,2048.873284
5117.577258,637.6914895
5548.950022,1107.971504
6388.371041,1398.528323
5155.575151,3628.665179
7328.76204,1983.282447
4480.630895,5224.124936
8485.925367,2216.463155
9192.044487,1960.689827
10130.76905,1907.878076
10300.87894,2022.95421
8458.65972,4280.31717
11918.64713,1228.409977
6835.866205,6898.707199
13849.40725,898.4303334
13508.08111,2558.254276
16613.05862,637.0503988
16615.33634,1086.920559
17523.60688,2466.969984
new iteration,
1514.212419,669.9234236
3500.274094,704.7201634
2064.135842,2711.366265
2169.21676,3011.151746
7498.300985,561.2228809
9032.869761,1468.718528
7502.770221,3714.227087
9986.561521,1549.093248
6994.407035,5274.071923
8849.130188,3738.330603
7205.005411,5779.994027
11853.70603,1697.301086
9353.420845,4586.584773
