new iteration,
890.1217573,421.440277
1001.474683,883.203103
1764.677786,615.5830259
1000.862711,2028.729288
2583.551497,693.2766675
4058.291874,613.3075608
1399.577884,4247.257139
5190.959933,907.8897101
5220.184726,998.2028329
2854.855703,4362.473671
4845.114051,4031.636178
8632.416009,440.1270025
7097.329375,2217.513203
9101.040793,662.4335653
7627.676006,3967.141731
11956.31025,459.8678638
10898.93417,2182.445454
12678.81383,900.1460804
11473.4151,2427.663706
12949.99515,1014.690726
9869.392786,4500.346901
13233.11309,1196.626596
14018.58968,728.4838212
14160.29252,980.003083
12640.40136,2838.276834
14456.58303,1220.998351
12896.63643,3038.470705
15402.31102,923.4878898
13540.90036,3485.823968
16226.02622,923.1093983
16289.47325,1220.330856
16838.84117,1263.212202
17016.32407,1145.729301
17119.00365,1362.702528
17044.89877,1641.807133
15001.51698,4233.715269
15433.13667,4019.560548
15882.84389,3993.30002
14158.58907,6101.864753
17718.17194,3557.169418
17160.92852,5108.579494
new iteration,
98.15362283,2409.960494
1529.627344,2153.768746
3226.492712,823.1939483
3563.396091,568.0296152
1890.352214,2516.800446
850.488364,4091.330427
4802.409239,451.3499847
4214.176192,2257.696661
6143.362315,707.6348023
6302.541294,683.1246886
2863.188538,4537.692094
7892.693461,670.7085836
8376.942874,643.9312746
9244.92673,592.629906
9337.501698,670.6031244
7788.968335,2679.816195
9632.398727,1055.94816
9667.984658,1263.419748
10082.82813,1002.81727
10499.39085,995.5498595
10474.73819,1080.202524
9432.263858,2551.308476
12216.8356,471.2860612
12700.97462,650.9562592
11220.25378,2473.750048
13091.65955,743.4789691
13176.8352,862.5253402
12568.17125,2471.61246
14865.12248,561.7085168
15008.0933,526.1870349
13788.93094,2698.166229
13886.21392,2753.325761
16367.09717,547.3734104
17012.22033,498.8589963
16980.75824,2190.597805
15517.50954,4178.08275
15351.40051,4369.219576
17855.00394,2577.554318
17934.1651,4501.352102
17579.22898,5907.525208
new iteration,
4702.614937,420.7083056
3086.631896,2216.971376
6344.720338,616.2091853
6958.130977,523.1709198
6595.27257,898.7211821
7029.079451,803.5463727
5298.771328,2963.652769
8052.193952,917.1256572
6372.594357,2692.688723
5510.470803,4060.239787
6111.760119,4234.895978
9890.091587,876.7034423
10173.71987,665.1315353
11269.27378,447.8723938
11353.40006,569.9310154
7361.301897,6493.49599
13587.98884,581.7757058
13345.93468,943.8298624
14080.76411,569.9846432
10338.0343,4400.970851
14746.20887,546.953289
13108.93666,2404.543291
14177.20665,2409.805239
16114.54852,770.7376895
16464.0361,952.0652011
16633.42509,1043.113878
17533.16421,581.2445771
17911.46865,737.3262576
16125.31095,2771.540266
17789.02083,2159.281927
new iteration,
888.4486474,501.9240145
1427.665256,543.728751
2554.593881,432.1781284
3019.324905,500.8846267
4576.202521,510.65435
4784.466602,613.7142131
1760.48637,4119.052422
5658.027515,635.8642103
4215.257146,2473.72294
6296.64762,480.8618932
6791.185852,649.720435
7139.195569,845.9584613
7509.423727,583.3239184
3983.850725,4363.993329
7660.604461,770.2986181
4552.219333,4160.73388
8180.663254,595.447418
8448.393553,714.0050561
5415.728289,3959.365882
8947.713668,841.6076861
9929.224511,556.3189122
8851.201687,2374.017727
10919.93049,640.3895067
11368.13641,451.4061316
11821.66059,479.6589597
12272.01132,651.3634484
13603.35292,476.1686835
14327.05417,754.4619298
13023.43556,2443.015534
13378.70928,2101.240629
15534.42055,470.1708594
15237.01031,827.5810975
14254.38548,2453.388806
16137.96462,664.3098205
16420.32617,851.3990346
16522.21178,754.1880923
16640.94628,998.1956041
16862.4151,836.7267826
16896.32615,1133.502508
14159.01513,3890.592397
new iteration,
174.4129692,421.4870865
945.6328876,2296.406542
833.702337,2427.064346
3007.891077,574.1679488
3682.989247,549.4704758
3781.359433,603.4732772
184.1191379,4354.968689
4250.181209,686.7904292
4525.962316,488.0171367
5138.565844,707.2633068
5510.049694,677.2149389
5890.61716,524.3899195
6173.902195,470.2074893
4976.703878,2410.894794
6818.420954,667.7746302
7693.290871,897.0279904
7494.406695,1191.790186
8038.360722,854.9903927
8042.292329,1077.357123
8678.131923,902.0266597
8719.318934,1238.216253
7156.817229,2920.717959
9154.501126,1180.332629
9219.436209,1657.409649
9948.179998,1314.710374
10022.80005,1492.661203
10090.18292,1626.992083
8506.196881,3514.730448
10518.48466,1565.913732
10561.70862,1800.560358
10644.12338,2028.397284
10769.64801,2105.892473
8536.088654,4644.481843
12843.52364,1286.608451
12980.11025,1549.213698
13038.9833,1550.340649
13975.03093,1051.347017
11791.04292,4034.010156
7273.502548,9036.873758
12312.13732,4117.338726
15982.92556,713.2647143
14171.60393,3025.713423
7431.510056,9789.515951
13676.42907,4922.121884
14697.4071,4645.240947
17017.31735,2445.330694
17411.0107,2392.010945
17347.25137,2514.102411
new iteration,
554.1529249,552.8633356
927.0162605,443.313195
957.5103166,557.9392038
3737.870076,465.7284236
4004.423327,700.0381801
4057.62709,735.39102
4527.568367,565.867797
4649.534746,913.630491
3043.401819,2579.44537
4832.642439,1041.187843
5443.165237,829.1068093
6201.839866,712.7943745
6243.000279,738.5571472
6272.995713,967.6998074
1095.361889,6460.321113
6535.810756,1217.018149
5348.550107,2682.833889
7327.359056,749.1479187
7436.843153,1175.509329
7611.218355,1037.93245
8240.754802,957.6109476
8630.951111,1104.259158
9846.282475,436.5184662
8383.189286,2451.041246
10189.37653,704.8540035
10807.45308,647.1457733
11908.99942,625.9340236
12641.01201,829.205663
13398.04455,480.108268
14906.51896,565.9843941
13431.09326,2041.955507
13746.55219,2143.602828
12277.02752,4028.113103
15924.09098,687.689641
12303.37949,4423.638355
12864.74092,4118.710411
16494.43329,713.6705505
16880.40164,729.3522764
13686.94585,4353.282233
17360.98015,878.0966386
17433.57988,1051.820031
16496.05807,2661.606616
17258.83948,2173.910347
17576.17911,2668.355716
new iteration,
312.3146929,510.8029001
1315.38003,551.9907275
1294.11589,692.3423832
1414.757919,855.2600842
3080.274736,647.4331319
1495.167839,2708.796269
3794.134962,675.9010975
1927.099966,2788.081305
3890.172197,1002.144313
4222.434483,1214.457396
4319.869498,1447.392585
2245.286283,3780.378322
4923.643756,1399.698835
5240.410306,1298.712262
5312.776664,1569.802905
5701.857338,1286.395659
6085.973119,1322.49767
1857.16155,5741.793163
7007.452733,742.0523254
7173.234947,1023.017466
6298.336377,2786.953293
9517.404979,549.5062332
9834.685303,790.1307478
10849.808,691.3372235
9606.310125,2463.891155
11059.82968,1070.371602
11850.43377,937.8733583
12458.11654,791.1859307
12024.06162,1274.822975
11019.17445,2835.9349
11612.60659,3026.746285
13735.10935,1134.196852
11704.2102,3525.261244
14200.81888,1107.160906
14697.08468,958.8222466
12840.9698,2992.060259
15013.27423,933.6397284
13359.84421,2892.665762
13076.56679,3321.283919
16852.98292,522.6562108
17935.01532,692.0247009
17223.23009,2262.202058
new iteration,
1212.690431,507.4447505
2311.312412,519.7284001
898.5713568,2061.82394
2542.103635,695.1315273
2545.306769,770.7159344
472.7792057,3809.035456
4556.044397,539.1708108
5274.004075,430.8682978
4581.234414,1172.769661
5361.952508,755.3397531
5293.735169,834.5121219
5389.270219,1235.518933
3783.565921,3185.589257
5792.591838,1748.495409
4372.025995,3427.613796
6952.000377,1230.279264
7190.841978,1309.403364
8878.659728,596.3653929
6643.083975,3002.525575
9161.508603,661.5513651
9637.071426,785.9386079
7376.583164,3266.320002
10074.55183,981.9175681
5418.616918,5986.122665
10562.84853,921.4872196
11014.82735,840.3124443
11072.18849,958.5867337
9570.648645,2778.767185
6776.539465,5632.876365
11364.33574,1287.844253
11808.08553,1020.967985
12469.97774,668.7890664
12479.05584,1116.284647
13510.48763,2529.551052
5503.145535,11040.96124
14476.69686,2205.767085
14500.56061,2610.520771
14769.63088,2877.948943
17776.1104,426.7714579
16562.46394,2291.397624
17347.16024,2206.846331
new iteration,
858.2852024,728.2575521
1466.542755,754.218499
1723.595163,728.8553873
2026.579794,749.5405704
2535.346028,715.9820383
3107.901107,654.2985912
3194.695026,962.6090694
1190.886151,2992.43469
2186.214603,2465.428711
710.2236081,4418.290474
4685.820587,534.4059333
966.6334361,4727.818636
5437.592898,835.994207
6222.272499,660.2919451
6845.643353,441.1177775
4914.141182,4306.902121
8763.24753,896.2767183
8693.978582,2160.344387
10373.54686,656.2253492
10830.23339,560.3415537
8995.795902,2941.703639
9930.576295,2330.359598
12342.36523,686.8551437
12575.91811,627.4714182
12582.61639,819.6413934
8710.467467,5076.927938
12698.61564,1148.779765
11452.8323,2746.578043
12873.12998,1470.310851
13440.56631,1333.678746
14598.93743,576.9725105
15716.43164,423.2992532
15985.09535,638.287935
16215.00475,528.3785277
16569.69361,660.9440825
17016.6547,511.455943
17393.34416,712.6505587
17925.99472,549.9483682
17944.22053,1046.999085
17973.66743,1106.614769
17137.24527,2313.959848
17766.03704,2381.831177
new iteration,
1083.683852,456.0391969
1518.98113,711.5227823
668.5938429,2264.873914
2503.240098,668.1389286
2803.170911,652.1507502
4236.608044,550.7436907
4740.469048,622.1289279
3051.379027,2467.897352
5240.37164,488.8859595
6377.048693,442.8935705
6871.971425,631.3684191
5477.962606,2485.210995
8007.30959,565.9406396
8107.807936,520.2331254
8203.557511,834.5861048
6598.273211,2592.383803
8416.826123,1215.644297
7176.587501,2668.790961
9188.130271,825.4180126
10434.85107,551.4956661
8306.580568,2823.961524
11010.54209,648.3312929
11529.52691,487.5461942
11638.59819,506.487833
12384.47206,583.2455145
12749.64046,650.657532
11087.67313,2459.896293
13233.52231,722.2963195
15373.39126,739.4002298
14341.20768,2175.496659
15072.30806,2354.123314
16819.74758,666.6837956
15329.46698,5735.173449
17306.43138,4025.756927
new iteration,
168.9122951,702.8319696
773.5179538,581.7411835
854.8303907,726.8714605
2075.081071,697.6846381
2511.937245,752.35749
1544.334921,2374.050094
1872.815994,2411.494964
580.8560137,4013.931533
4000.194296,733.323967
5134.922478,712.6072979
5141.313781,864.5660712
5534.022945,841.9778251
6502.011819,492.1571452
4068.57077,3101.637261
2817.961214,4771.189137
6836.15641,1054.647719
7149.556556,931.6340035
7566.284243,775.5338498
4002.439278,4626.508463
8137.500296,582.1769006
6575.951871,2746.151101
9154.881055,707.687375
9290.189139,749.9414605
10530.4709,497.8040867
10812.89706,552.3177284
11166.96976,587.9224798
11379.03152,907.190262
10621.30537,2177.207466
12497.64805,498.8716174
10669.41755,2647.515273
9420.226519,4833.079936
14818.47378,478.4927362
14975.56916,660.807363
15176.96651,926.4840242
15882.3352,489.3733325
12896.4641,4184.224445
16668.30201,678.2629901
11170.05319,6498.863943
17145.64623,685.5258886
new iteration,
196.6684021,640.2766668
393.5753354,700.1797436
494.0872793,810.1483659
1453.967777,433.0358221
669.6036474,2518.037657
2622.972631,855.7791078
2803.049598,957.8361812
1067.929957,2848.602061
3298.751739,972.4652346
3474.600257,1047.121253
3490.896225,1414.592074
3886.500246,1100.920919
2317.251832,3002.318328
4082.797069,1264.656106
4351.839523,1317.946215
5017.506143,1300.724247
5132.844945,1349.717155
3346.274321,3294.845989
5793.861143,1167.396205
6841.257348,509.3942879
4570.000377,2975.732938
4734.769358,3270.267287
7635.351421,544.1636372
5941.843867,2947.418811
6502.408564,2557.014405
8391.14734,821.6038394
8563.463911,798.1556791
9073.657861,497.7161991
9509.133892,691.3041151
10220.22077,498.9681351
10106.90147,2235.715651
11849.19043,553.4266885
12136.26236,564.6175282
11994.39183,872.7334252
12701.34358,423.1479357
11129.50961,2192.364766
13594.79624,653.2279546
13599.35081,1093.364637
13122.31228,2198.620336
15053.90003,669.6936942
15259.07619,695.3013758
13454.52187,2803.832336
15316.6938,1129.130108
14572.71544,2462.704577
16687.55667,561.2436286
15545.79816,2730.288423
17581.37628,2305.140989
17904.06755,2364.357056
new iteration,
1153.81982,664.2191833
1250.28349,1118.143726
1161.328396,2305.106583
3254.461604,571.4960694
3346.434979,689.9362647
1361.159451,2855.244702
1484.723894,2947.030967
3875.511949,902.7791879
3968.254597,914.1617303
567.2466073,4583.651629
4243.377063,1148.495114
4317.993139,1362.515663
2740.940404,3111.650677
4585.992682,1447.346535
4969.318586,1221.366069
5697.72612,731.2568164
5759.346279,1012.298018
5878.764919,995.1520601
6070.684655,1005.621497
6466.874192,1052.005507
6487.849026,1270.88742
6998.738127,871.1785708
7177.404045,1024.017397
6436.088772,2709.118185
8484.798232,780.4087247
8694.067133,909.9895979
9119.921642,629.6450747
7048.275884,2872.394935
9642.254343,704.7740765
7398.879698,3126.606275
7617.139756,3030.256974
10324.93442,738.5323708
12871.19196,709.8559957
13261.89533,884.88664
13337.84989,1063.295177
12099.9795,2849.952073
13117.32604,2027.432782
14798.7428,467.5518869
14846.08249,670.0577747
13124.12515,2667.847743
15827.84634,438.8024217
16096.50563,496.743259
16871.34709,560.2092276
13461.04796,4443.886226
15887.69008,2508.48721
17206.38119,4074.402893
new iteration,
788.4091854,431.2733422
78.84985977,2207.18544
1961.955506,435.5002869
3907.958009,436.1906803
2071.581768,2373.004161
4101.79151,627.8414823
3522.346151,2196.277702
5338.271067,705.5463845
5513.443019,595.0940464
6229.778235,657.8232069
4790.864797,2390.161659
6704.912906,1148.679144
7305.165266,685.5171403
6138.560896,2441.382671
8114.08305,523.8703736
5049.620978,4038.139222
9558.702871,628.4607094
9002.801453,2232.474559
6650.311901,4704.96411
11005.68061,566.4243652
7424.778783,4300.431181
10183.01556,2360.346369
10249.509,2446.395197
12889.69509,662.382244
13305.91076,704.6364731
13589.82835,600.7902667
14042.97976,521.237342
12652.60619,2364.039094
15402.48903,456.9505125
15294.24379,648.1795754
15875.57363,448.8710164
16202.22205,535.0834886
14546.75226,2329.564646
16551.41463,1084.815161
14601.47967,3313.14934
17213.48964,733.8941919
17374.98636,876.7517507
15590.9159,2720.822208
17918.12001,824.2333055
16399.62525,2695.706904
16309.16705,2788.420801
new iteration,
539.8390566,696.6909934
1347.083184,632.4388425
2101.482788,817.1540924
2276.423783,790.4292003
489.6732075,2975.119
2697.300076,940.7384503
1364.674873,2617.568142
2705.214896,1310.577443
3679.609053,706.2174306
1929.3383,2522.540863
207.2979978,4660.96997
4063.577765,910.1045073
6239.3258,447.5077102
6268.449394,608.5868263
6629.888404,812.7538894
4535.33289,3135.541847
5242.057828,2696.296187
5729.336352,2520.744192
5719.899104,2761.362626
7643.691163,1056.147175
7808.540407,1091.195702
4438.983559,4793.475399
10481.29005,538.4463668
10632.80169,688.7042006
12746.28048,565.3937892
13656.18417,514.6376594
14089.76651,552.2303878
8910.869963,5879.748129
14911.14076,521.3493117
14957.01896,631.9037624
13659.05959,2171.202385
15739.66881,493.2075472
16031.85123,488.0891553
16120.64665,523.6358973
14543.22873,2354.766296
16486.69629,686.5809867
16752.15328,472.9497559
17761.45526,669.5174697
17553.11626,3719.922432
new iteration,
437.6147442,560.9519174
1433.453908,561.6701292
1509.669317,597.9020954
2010.08218,485.4859639
1676.496813,873.4783114
2357.890106,605.0566487
3220.420888,542.3978948
3957.424121,785.3472009
3975.478366,1012.838597
4146.066209,1096.057473
3744.069335,2195.267566
5819.336901,509.997449
3933.215682,2456.118668
2667.124687,4652.159556
6860.462157,506.4532697
3752.566948,3905.48168
7489.0436,544.0109405
7649.520112,489.5802632
7901.29236,702.3184906
8123.295409,626.2679639
8248.324818,730.465688
7099.895731,2555.133032
9716.278624,2161.369707
10257.16063,2110.263243
11757.64833,707.9390676
10680.1473,2143.459019
