,Day,Hour,Attempts,Checks_Lengths
0,1,09:09:00,3,"[7, 9, 7]"
1,1,09:18:00,2,"[5, 8]"
2,1,09:30:00,3,"[8, 8, 8]"
3,1,09:31:00,1,[10]
4,1,10:16:00,1,[9]
5,1,10:19:00,2,"[10, 5]"
6,1,10:52:00,2,"[5, 7]"
7,1,11:01:00,1,[7]
8,1,11:10:00,1,[7]
9,1,11:11:00,1,[10]
10,1,11:18:00,2,"[8, 5]"
11,1,11:43:00,1,[9]
12,1,11:50:00,1,[5]
13,1,12:01:00,1,[10]
14,1,12:03:00,3,"[6, 10, 9]"
15,1,12:03:00,1,[7]
16,1,12:25:00,2,"[5, 10]"
17,1,12:32:00,2,"[8, 6]"
18,1,12:33:00,1,[8]
19,1,12:55:00,2,"[5, 10]"
20,1,13:03:00,1,[9]
21,1,13:15:00,2,"[6, 6]"
22,1,13:21:00,1,[10]
23,1,13:53:00,1,[6]
24,2,09:08:00,4,"[5, 5, 6, 6]"
25,2,09:23:00,1,[8]
26,2,09:23:00,1,[10]
27,2,09:28:00,1,[8]
28,2,09:57:00,2,"[5, 6]"
29,2,10:07:00,1,[7]
30,2,10:21:00,1,[10]
31,2,10:54:00,1,[6]
32,2,11:09:00,1,[5]
33,2,11:10:00,1,[7]
34,2,11:14:00,2,"[5, 7]"
35,2,11:19:00,1,[8]
36,2,11:40:00,1,[8]
37,2,11:48:00,1,[6]
38,2,11:49:00,1,[5]
39,2,12:20:00,1,[7]
40,2,12:58:00,1,[5]
41,2,13:11:00,2,"[5, 9]"
42,2,13:14:00,1,[8]
43,2,13:27:00,1,[9]
44,2,13:40:00,1,[8]
45,2,13:50:00,2,"[6, 9]"
46,3,09:08:00,1,[6]
47,3,09:10:00,1,[8]
48,3,09:36:00,1,[7]
49,3,10:10:00,2,"[8, 6]"
50,3,10:12:00,3,"[10, 5, 7]"
51,3,10:41:00,1,[5]
52,3,11:32:00,1,[7]
53,3,11:35:00,1,[10]
54,3,11:36:00,4,"[10, 9, 7, 9]"
55,3,11:59:00,1,[10]
56,3,12:06:00,2,"[6, 10]"
57,3,12:18:00,3,"[8, 6, 10]"
58,3,12:25:00,1,[5]
59,3,12:49:00,2,"[8, 7]"
60,3,12:49:00,1,[9]
61,3,13:03:00,2,"[6, 5]"
62,3,13:11:00,1,[8]
63,3,13:33:00,1,[7]
64,3,13:35:00,2,"[10, 7]"
65,3,13:58:00,2,"[8, 9]"
66,4,09:20:00,1,[8]
67,4,09:35:00,1,[6]
68,4,09:41:00,1,[8]
69,4,09:52:00,1,[7]
70,4,09:54:00,2,"[8, 5]"
71,4,10:16:00,1,[10]
72,4,10:51:00,1,[9]
73,4,11:18:00,1,[10]
74,4,11:31:00,2,"[8, 10]"
75,4,11:43:00,1,[10]
76,4,12:09:00,1,[6]
77,4,12:13:00,1,[7]
78,4,13:11:00,1,[7]
79,4,13:12:00,1,[7]
80,4,13:18:00,1,[8]
81,4,13:38:00,1,[8]
82,4,13:43:00,2,"[9, 7]"
83,5,09:27:00,2,"[6, 6]"
84,5,09:50:00,1,[5]
85,5,09:55:00,1,[5]
86,5,10:11:00,3,"[8, 8, 9]"
87,5,10:11:00,1,[6]
88,5,10:13:00,1,[6]
89,5,10:53:00,1,[7]
90,5,10:55:00,1,[8]
91,5,12:13:00,1,[6]
92,5,12:22:00,1,[9]
93,5,12:24:00,1,[7]
94,5,12:57:00,1,[8]
95,5,13:20:00,2,"[10, 7]"
96,5,13:21:00,2,"[7, 10]"
97,5,13:31:00,1,[10]
98,5,13:32:00,1,[10]
99,5,13:33:00,2,"[10, 8]"
100,5,13:35:00,1,[7]
101,5,13:39:00,2,"[10, 9]"
102,5,13:58:00,1,[5]
103,6,09:30:00,1,[6]
104,6,09:35:00,2,"[10, 10]"
105,6,09:38:00,3,"[10, 6, 10]"
106,6,10:14:00,2,"[5, 7]"
107,6,10:56:00,2,"[9, 7]"
108,6,11:14:00,1,[5]
109,6,11:16:00,3,"[5, 10, 9]"
110,6,11:30:00,3,"[5, 8, 10]"
111,6,11:38:00,1,[8]
112,6,11:55:00,1,[7]
113,6,12:08:00,2,"[6, 5]"
114,6,12:19:00,1,[9]
115,6,12:27:00,2,"[5, 8]"
116,6,12:53:00,3,"[10, 6, 6]"
117,6,12:57:00,1,[5]
118,6,12:57:00,1,[5]
119,6,13:05:00,1,[5]
120,6,13:36:00,2,"[5, 10]"
121,6,13:45:00,1,[6]
122,6,13:49:00,1,[10]
123,7,09:22:00,2,"[6, 8]"
124,7,09:37:00,2,"[9, 8]"
125,7,10:28:00,3,"[6, 10, 8]"
126,7,10:39:00,1,[8]
127,7,11:22:00,1,[9]
128,7,11:32:00,1,[5]
129,7,11:48:00,2,"[10, 7]"
130,7,11:56:00,1,[5]
131,7,12:02:00,1,[9]
132,7,12:02:00,1,[6]
133,7,12:18:00,1,[9]
134,7,12:24:00,1,[5]
135,7,13:56:00,1,[5]
136,7,13:59:00,3,"[9, 8, 8]"
137,7,13:59:00,1,[7]
138,8,09:02:00,1,[7]
139,8,09:50:00,2,"[9, 5]"
140,8,10:44:00,1,[7]
141,8,10:51:00,1,[6]
142,8,10:54:00,2,"[6, 6]"
143,8,11:03:00,1,[7]
144,8,11:24:00,2,"[7, 5]"
145,8,12:17:00,1,[9]
146,8,12:33:00,2,"[5, 6]"
147,8,12:44:00,2,"[9, 5]"
148,8,12:46:00,1,[6]
149,8,13:02:00,1,[6]
150,8,13:02:00,1,[5]
151,8,13:02:00,1,[5]
152,8,13:24:00,1,[9]
153,9,09:07:00,1,[10]
154,9,09:12:00,1,[9]
155,9,09:18:00,1,[7]
156,9,09:28:00,1,[7]
157,9,09:47:00,3,"[10, 9, 9]"
158,9,10:26:00,1,[5]
159,9,10:26:00,1,[8]
160,9,10:33:00,1,[9]
161,9,10:43:00,1,[6]
162,9,10:45:00,3,"[8, 7, 10]"
163,9,10:51:00,2,"[5, 5]"
164,9,11:14:00,2,"[6, 10]"
165,9,11:26:00,1,[8]
166,9,11:53:00,3,"[7, 9, 5]"
167,9,12:12:00,1,[9]
168,9,12:51:00,2,"[5, 7]"
169,9,12:55:00,1,[9]
170,9,12:57:00,1,[7]
171,9,13:05:00,1,[6]
172,9,13:08:00,1,[5]
173,9,13:42:00,1,[8]
174,9,13:43:00,1,[10]
175,10,09:17:00,1,[10]
176,10,09:21:00,3,"[5, 7, 6]"
177,10,09:22:00,1,[10]
178,10,09:35:00,1,[9]
179,10,09:57:00,1,[6]
180,10,10:56:00,1,[8]
181,10,11:00:00,1,[8]
182,10,11:00:00,2,"[6, 9]"
183,10,11:03:00,2,"[9, 10]"
184,10,11:48:00,1,[10]
185,10,11:50:00,1,[6]
186,10,12:01:00,1,[10]
187,10,12:01:00,1,[6]
188,10,12:21:00,1,[6]
189,10,13:00:00,2,"[8, 7]"
190,10,13:22:00,1,[10]
191,10,13:49:00,1,[10]
192,11,09:11:00,1,[10]
193,11,09:23:00,1,[5]
194,11,09:24:00,1,[6]
195,11,09:36:00,1,[7]
196,11,09:59:00,1,[8]
197,11,10:13:00,1,[5]
198,11,10:22:00,1,[9]
199,11,10:46:00,1,[10]
200,11,11:08:00,1,[10]
201,11,11:12:00,1,[6]
202,11,11:57:00,2,"[6, 9]"
203,11,12:14:00,1,[6]
204,11,12:19:00,1,[8]
205,11,12:23:00,2,"[5, 5]"
206,11,12:24:00,2,"[8, 9]"
207,11,12:26:00,1,[10]
208,11,13:13:00,1,[8]
209,11,13:41:00,2,"[6, 8]"
210,11,13:53:00,1,[10]
211,12,09:16:00,2,"[7, 9]"
212,12,10:26:00,1,[5]
213,12,10:39:00,1,[8]
214,12,10:46:00,4,"[8, 6, 10, 9]"
215,12,10:50:00,1,[7]
216,12,10:51:00,1,[6]
217,12,11:42:00,1,[5]
218,12,12:09:00,3,"[5, 9, 9]"
219,12,12:14:00,1,[10]
220,12,12:26:00,1,[10]
221,12,12:40:00,3,"[5, 8, 8]"
222,12,12:45:00,1,[9]
223,12,12:51:00,1,[10]
224,12,13:26:00,2,"[8, 10]"
225,12,13:32:00,2,"[7, 9]"
226,12,13:42:00,1,[5]
227,13,09:22:00,1,[6]
228,13,09:29:00,1,[7]
229,13,09:32:00,2,"[9, 8]"
230,13,10:12:00,1,[6]
231,13,10:19:00,1,[8]
232,13,10:58:00,1,[9]
233,13,11:05:00,1,[7]
234,13,11:27:00,1,[9]
235,13,11:46:00,1,[6]
236,13,11:48:00,1,[6]
237,13,11:50:00,3,"[9, 5, 6]"
238,13,12:05:00,1,[8]
239,13,12:28:00,3,"[10, 6, 8]"
240,13,12:42:00,2,"[6, 8]"
241,13,12:50:00,1,[8]
242,13,12:52:00,2,"[7, 10]"
243,13,12:53:00,1,[8]
244,13,13:07:00,3,"[8, 7, 7]"
245,13,13:09:00,1,[6]
246,13,13:22:00,1,[10]
247,14,09:48:00,1,[7]
248,14,09:55:00,1,[7]
249,14,10:02:00,1,[8]
250,14,10:10:00,2,"[7, 10]"
251,14,11:30:00,2,"[8, 10]"
252,14,11:48:00,2,"[5, 10]"
253,14,11:59:00,3,"[6, 6, 7]"
254,14,12:02:00,1,[9]
255,14,12:23:00,3,"[10, 5, 8]"
256,14,12:42:00,2,"[9, 9]"
257,14,12:46:00,1,[10]
258,14,13:09:00,1,[6]
259,14,13:18:00,1,[7]
260,14,13:28:00,1,[6]
261,14,13:31:00,1,[8]
262,14,13:38:00,2,"[8, 10]"
263,15,09:06:00,2,"[6, 9]"
264,15,09:06:00,1,[8]
265,15,09:07:00,1,[6]
266,15,09:26:00,1,[6]
267,15,09:48:00,1,[5]
268,15,09:51:00,2,"[8, 10]"
269,15,10:10:00,1,[7]
270,15,10:39:00,1,[7]
271,15,10:50:00,2,"[10, 7]"
272,15,11:02:00,2,"[10, 7]"
273,15,11:07:00,2,"[9, 9]"
274,15,11:09:00,1,[6]
275,15,11:09:00,3,"[10, 6, 8]"
276,15,11:33:00,1,[10]
277,15,11:40:00,2,"[8, 8]"
278,15,12:18:00,1,[6]
279,15,12:18:00,2,"[10, 10]"
280,15,12:22:00,1,[8]
281,15,12:34:00,1,[6]
282,15,12:35:00,1,[10]
283,15,12:55:00,3,"[7, 6, 10]"
284,15,13:10:00,1,[5]
285,15,13:53:00,2,"[9, 5]"
286,16,09:07:00,1,[6]
287,16,09:40:00,2,"[9, 8]"
288,16,10:00:00,2,"[7, 9]"
289,16,10:03:00,2,"[5, 6]"
290,16,10:18:00,1,[10]
291,16,10:41:00,1,[9]
292,16,11:13:00,2,"[9, 7]"
293,16,11:16:00,1,[8]
294,16,11:43:00,1,[8]
295,16,11:53:00,3,"[9, 6, 10]"
296,16,11:56:00,1,[5]
297,16,12:32:00,2,"[9, 10]"
298,16,12:49:00,2,"[6, 8]"
299,16,12:51:00,2,"[9, 10]"
300,16,13:05:00,1,[8]
301,16,13:39:00,1,[9]
302,16,13:41:00,1,[7]
303,16,13:51:00,1,[7]
304,17,09:13:00,1,[9]
305,17,09:56:00,1,[8]
306,17,10:05:00,1,[6]
307,17,10:40:00,1,[5]
308,17,10:53:00,2,"[6, 7]"
309,17,11:52:00,1,[9]
310,17,12:03:00,1,[6]
311,17,12:05:00,1,[9]
312,17,12:05:00,1,[9]
313,17,12:23:00,1,[6]
314,17,12:40:00,1,[5]
315,17,12:46:00,1,[10]
316,17,12:49:00,1,[5]
317,17,13:12:00,1,[5]
318,17,13:12:00,1,[5]
319,17,13:19:00,2,"[10, 10]"
320,17,13:36:00,1,[6]
321,17,13:39:00,1,[5]
322,17,13:46:00,1,[10]
323,18,09:02:00,1,[9]
324,18,09:59:00,3,"[10, 7, 6]"
325,18,10:57:00,1,[7]
326,18,11:00:00,3,"[9, 9, 5]"
327,18,11:24:00,1,[7]
328,18,11:41:00,1,[10]
329,18,12:11:00,1,[10]
330,18,12:45:00,1,[5]
331,18,12:49:00,1,[10]
332,18,13:04:00,1,[8]
333,18,13:16:00,1,[6]
334,18,13:18:00,1,[7]
335,18,13:22:00,1,[6]
336,18,13:22:00,2,"[5, 7]"
337,18,13:37:00,1,[9]
338,19,09:04:00,2,"[7, 7]"
339,19,09:29:00,1,[8]
340,19,09:34:00,1,[5]
341,19,09:52:00,2,"[7, 7]"
342,19,10:54:00,1,[7]
343,19,10:58:00,1,[6]
344,19,11:02:00,2,"[10, 6]"
345,19,11:06:00,1,[6]
346,19,11:29:00,1,[7]
347,19,11:56:00,1,[7]
348,19,11:57:00,2,"[5, 8]"
349,19,11:58:00,1,[6]
350,19,12:02:00,1,[9]
351,19,12:43:00,1,[6]
352,19,12:44:00,3,"[9, 8, 9]"
353,19,13:05:00,2,"[7, 7]"
354,19,13:08:00,1,[10]
355,19,13:16:00,2,"[10, 6]"
356,19,13:24:00,1,[8]
357,20,09:12:00,1,[5]
358,20,09:38:00,1,[5]
359,20,09:39:00,1,[9]
360,20,09:49:00,1,[7]
361,20,10:50:00,3,"[10, 6, 7]"
362,20,11:22:00,1,[9]
363,20,11:25:00,2,"[5, 7]"
364,20,11:30:00,1,[6]
365,20,11:38:00,1,[9]
366,20,11:44:00,1,[8]
367,20,11:51:00,1,[10]
368,20,12:27:00,1,[7]
369,20,12:35:00,2,"[8, 10]"
370,20,12:49:00,1,[7]
371,20,13:11:00,1,[6]
372,20,13:11:00,1,[5]
373,20,13:17:00,3,"[10, 9, 9]"
374,20,13:35:00,3,"[10, 9, 5]"
375,20,13:37:00,1,[6]
376,20,13:58:00,1,[9]
377,21,09:49:00,1,[9]
378,21,10:08:00,1,[9]
379,21,10:15:00,1,[8]
380,21,11:12:00,1,[5]
381,21,11:18:00,1,[10]
382,21,11:26:00,1,[6]
383,21,11:34:00,1,[6]
384,21,12:07:00,1,[9]
385,21,12:27:00,1,[9]
386,21,12:59:00,1,[10]
387,21,12:59:00,1,[10]
388,21,13:25:00,1,[5]
389,21,13:30:00,1,[9]
390,21,13:34:00,1,[9]
391,21,13:47:00,1,[6]
392,22,09:31:00,1,[6]
393,22,09:32:00,2,"[8, 5]"
394,22,09:34:00,1,[8]
395,22,10:03:00,1,[6]
396,22,10:14:00,1,[6]
397,22,10:25:00,2,"[10, 6]"
398,22,10:33:00,1,[8]
399,22,10:34:00,2,"[8, 7]"
400,22,10:49:00,1,[10]
401,22,10:54:00,1,[7]
402,22,11:10:00,2,"[5, 5]"
403,22,11:44:00,1,[6]
404,22,12:10:00,1,[5]
405,22,12:15:00,1,[5]
406,22,12:31:00,2,"[8, 6]"
407,22,12:49:00,1,[9]
408,22,12:54:00,1,[6]
409,22,13:02:00,1,[5]
410,22,13:18:00,1,[10]
411,22,13:29:00,1,[8]
412,22,13:42:00,1,[5]
413,22,13:51:00,1,[5]
414,23,09:13:00,1,[6]
415,23,09:37:00,2,"[9, 9]"
416,23,09:42:00,1,[5]
417,23,09:47:00,1,[5]
418,23,09:52:00,2,"[10, 5]"
419,23,10:03:00,1,[7]
420,23,10:09:00,1,[9]
421,23,10:12:00,2,"[10, 5]"
422,23,10:16:00,1,[7]
423,23,12:05:00,1,[7]
424,23,12:29:00,1,[7]
425,23,12:33:00,2,"[10, 6]"
426,23,12:52:00,3,"[6, 6, 10]"
427,23,12:56:00,2,"[8, 5]"
428,23,12:58:00,1,[7]
429,23,13:02:00,2,"[8, 6]"
430,23,13:10:00,1,[8]
431,23,13:21:00,1,[9]
432,23,13:41:00,1,[7]
433,23,13:48:00,1,[9]
434,23,13:56:00,2,"[6, 7]"
435,24,09:00:00,1,[6]
436,24,09:23:00,1,[8]
437,24,09:27:00,2,"[6, 6]"
438,24,09:37:00,1,[10]
439,24,09:39:00,1,[6]
440,24,10:04:00,1,[8]
441,24,10:18:00,2,"[6, 9]"
